id;kd_pwk;nm_pemda;no_perda;tgl_perda;no_perkada_bansos;tgl_perkada_bansos;belanja_daerah;5_1_02_01_01_0039;5_1_02_02_02;5_1_02_02_02_0001;5_1_02_02_02_0002;5_1_02_02_02_0003;5_1_02_02_02_0004;5_1_02_02_02_0005;5_1_02_02_02_0006;5_1_02_02_02_0007;5_1_02_02_02_0008;5_1_02_02_02_0009;5_3;5_1_06;5_1_06_01;5_1_06_01_01;5_1_06_01_01_0001;5_1_06_01_02;5_1_06_01_02_0001;5_1_06_02;5_1_06_02_01;5_1_06_02_01_0001;5_1_06_02_02;5_1_06_02_02_0001;5_1_06_03;5_1_06_03_01;5_1_06_03_01_0001;5_1_06_03_02;5_1_06_03_02_0001;5_1_06_04;5_1_06_04_01;5_1_06_04_01_0001;5_1_06_04_02;5_1_06_04_02_0001;5_1_06_urusan;1;1_01;1_01_5_1_06;1_02;1_02_5_1_06;1_03;1_03_5_1_06;1_04;1_04_5_1_06;1_05;1_05_5_1_06;1_06;1_06_5_1_06;2;2_07;2_07_5_1_06;2_08;2_08_5_1_06;2_09;2_09_5_1_06;2_10;2_10_5_1_06;2_11;2_11_5_1_06;2_12;2_12_5_1_06;2_13;2_13_5_1_06;2_14;2_14_5_1_06;2_15;2_15_5_1_06;2_16;2_16_5_1_06;2_17;2_17_5_1_06;2_18;2_18_5_1_06;2_19;2_19_5_1_06;2_20;2_20_5_1_06;2_21;2_21_5_1_06;2_22;2_22_5_1_06;2_23;2_23_5_1_06;2_24;2_24_5_1_06;3;3_25;3_25_5_1_06;3_26;3_26_5_1_06;3_27;3_27_5_1_06;3_28;3_28_5_1_06;3_29;3_29_5_1_06;3_30;3_30_5_1_06;3_31;3_31_5_1_06;3_32;3_32_5_1_06;4;4_01;4_01_5_1_06;4_02;4_02_5_1_06;5;5_01;5_01_5_1_06;5_02;5_02_5_1_06;5_03;5_03_5_1_06;5_04;5_04_5_1_06;5_05;5_05_5_1_06;5_06;5_06_5_1_06;5_07;5_07_5_1_06;6;6_01;6_01_5_1_06;7;7_01;7_01_5_1_06;8;8_01;8_01_5_1_06;9;9_01;9_01_5_1_06;9_02;9_02_5_1_06;9_03;9_03_5_1_06;9_04;9_04_5_1_06;9_05;9_05_5_1_06
1;PW01;Prov. Aceh;06 Tahun 2022;2022-12-30;NULL;NULL;11093900000000;431847000000;98846852300;0;68880000000;26072200000;2083603200;0;602043000;776070000;432936100;0;67435963704;245289000000;234969000000;230529000000;230529000000;4440450000;4440450000;870000000;870000000;870000000;0;0;0;0;0;0;0;9450000000;9450000000;9450000000;0;0;245289000000;10920000000;0;0;0;0;0;0;0;0;0;0;10920000000;10920000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;234369000000;234369000000;234369000000;0;0;0;0;0;0;0;0
2;PW01;Kab. Aceh Barat Daya;07 Tahun 2022;2022-12-30;NULL;NULL;957379000000;30367120;348299320;0;0;2000000;0;0;36920000;17000000;292379320;0;9972392638;8125541028;7652112628;7210712628;7210712628;441400000;441400000;216000000;0;0;216000000;216000000;39428400;39428400;39428400;0;0;218000000;218000000;218000000;0;0;8125541028;3415800000;0;0;0;0;0;0;0;0;0;0;3415800000;3415800000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4709741028;4709741028;4709741028;0;0;0;0;0;0;0;0
3;PW01;Kab. Aceh Barat;07 Tahun 2022;2022-12-30;NULL;NULL;1334940000000;6081219963;4430819726;0;0;0;4170177791;0;229952655;30689280;0;0;9683937110;10819290672;10231290672;10231290672;10231290672;0;0;468000000;468000000;468000000;0;0;120000000;120000000;120000000;0;0;0;0;0;0;0;10819290672;430000000;0;0;0;0;0;0;0;0;0;0;430000000;430000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10389290672;10389290672;10389290672;0;0;0;0;0;0;0;0
4;PW01;Kab. Aceh Besar;09 Tahun 2022;2022-12-30;NULL;NULL;1755800000000;5313682614;4612790000;0;0;0;0;3936000000;288000000;360000000;28790000;0;5000000000;14877653510;13994226624;13161326624;13161326624;832900000;832900000;0;0;0;0;0;0;0;0;0;0;883426886;883426886;883426886;0;0;14877653510;837900000;0;0;0;0;0;0;0;0;0;0;837900000;837900000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000000000;0;0;1000000000;1000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13039753510;13039753510;13039753510;0;0;0;0;0;0;0;0
5;PW01;Kab. Aceh Jaya;06 Tahun 2022;2022-12-30;NULL;NULL;820570000000;483655000;88941244;0;0;0;1000000;0;2584476;7701768;0;77655000;1800000000;27000368203;15106651203;14969651203;14969651203;137000000;137000000;9952217000;0;0;9952217000;9952217000;1093500000;1093500000;1093500000;0;0;848000000;848000000;848000000;0;0;27000368203;17791935352;2546500000;2546500000;156000000;156000000;6668917000;6668917000;673400000;673400000;18900000;18900000;7728218352;7728218352;558000000;0;0;0;0;558000000;558000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99400000;0;0;0;0;99400000;99400000;0;0;0;0;0;0;0;0;0;0;1000000000;1000000000;1000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7551032851;7551032851;7551032851;0;0;0;0;0;0;0;0
6;PW01;Kab. Aceh Selatan;04 Tahun 2022;2022-12-30;NULL;NULL;1523590000000;930000000;454500000;0;0;0;4500000;0;120000000;280000000;0;50000000;10000000000;7097374000;4929978000;1881250000;1881250000;3048728000;3048728000;30000000;0;0;30000000;30000000;1662396000;343336000;343336000;1319060000;1319060000;475000000;475000000;475000000;0;0;7097374000;4919788000;0;0;0;0;0;0;1865000000;1865000000;0;0;3054788000;3054788000;1511250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1511250000;1511250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;171336000;0;0;0;0;171336000;171336000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;495000000;495000000;495000000;0;0;0;0;0;0;0;0
7;PW01;Kab. Aceh Singkil;NA;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;PW01;Kab. Aceh Tamiang;01 Tahun 2023;2023-01-27;NULL;NULL;1206010000000;913700000;1000000000;0;500000000;0;0;200000000;150000000;150000000;0;0;5000000000;19145650000;19118600000;10200000000;10200000000;8918600000;8918600000;27050000;0;0;27050000;27050000;0;0;0;0;0;0;0;0;0;0;19145650000;8945650000;0;0;0;0;0;0;8918600000;8918600000;0;0;27050000;27050000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10200000000;10200000000;10200000000;0;0;0;0;0;0;0;0
9;PW01;Kab. Aceh Tengah;02 Tahun 2022;2022-12-30;NULL;NULL;1251590000000;0;18000000;0;0;0;0;0;0;0;18000000;0;3000000000;13596978400;85680000;85680000;85680000;0;0;0;0;0;0;0;13511298400;13301113400;13301113400;210185000;210185000;0;0;0;0;0;13596978400;386793400;0;0;0;0;0;0;0;0;0;0;386793400;386793400;210185000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210185000;210185000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13000000000;13000000000;13000000000;0;0;0;0;0;0;0;0
10;PW01;Kab. Aceh Tenggara;01 Tahun 2023;2023-01-30;NULL;NULL;1227870000000;94936784842;26688000;0;0;0;0;26688000;0;0;0;0;2000000000;467200000;10000000;10000000;10000000;0;0;0;0;0;0;0;457200000;457200000;457200000;0;0;0;0;0;0;0;467200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;467200000;0;0;467200000;467200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
