id;kd_pwk;nm_pwk;nm_prov;nm_pemda;kd_map
1;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Prov. Aceh;path01
2;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kab. Aceh Barat Daya;path01
3;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kab. Aceh Barat;path01
4;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kab. Aceh Besar;path01
5;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kab. Aceh Jaya;path01
6;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kab. Aceh Selatan;path01
7;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kab. Aceh Singkil;path01
8;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kab. Aceh Tamiang;path01
9;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kab. Aceh Tengah;path01
10;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kab. Aceh Tenggara;path01
11;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kab. Aceh Timur;path01
12;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kab. Aceh Utara;path01
13;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kab. Bener Meriah;path01
14;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kab. Bireun;path01
15;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kab. Gayo Lues;path01
16;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kab. Nagan Raya;path01
17;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kab. Pidie Jaya;path01
18;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kab. Pidie;path01
19;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kab. Simeulue;path01
20;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kota Langsa;path01
21;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kota Banda Aceh;path01
22;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kota Lhokseumawe;path01
23;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kota Sabang;path01
24;PW01;Perwakilan BPKP Provinsi Aceh;Provinsi Aceh;Kota Subulussalam;path01
25;PW02;Perwakilan BPKP Provinsi Sumatera Utara;Provinsi Sumatera Utara;Prov. Sumatera Utara;path02
26;PW02;Perwakilan BPKP Provinsi Sumatera Utara;Provinsi Sumatera Utara;Kab. Asahan;path02
27;PW02;Perwakilan BPKP Provinsi Sumatera Utara;Provinsi Sumatera Utara;Kab. Batubara;path02
28;PW02;Perwakilan BPKP Provinsi Sumatera Utara;Provinsi Sumatera Utara;Kab. Dairi;path02
29;PW02;Perwakilan BPKP Provinsi Sumatera Utara;Provinsi Sumatera Utara;Kab. Deli Serdang;path02
30;PW02;Perwakilan BPKP Provinsi Sumatera Utara;Provinsi Sumatera Utara;Kab. Humbang Hasundutan;path02
31;PW02;Perwakilan BPKP Provinsi Sumatera Utara;Provinsi Sumatera Utara;Kab. Karo;path02
32;PW02;Perwakilan BPKP Provinsi Sumatera Utara;Provinsi Sumatera Utara;Kab. Labuhanbatu;path02
33;PW02;Perwakilan BPKP Provinsi Sumatera Utara;Provinsi Sumatera Utara;Kab. Labuhanbatu Selatan;path02
34;PW02;Perwakilan BPKP Provinsi Sumatera Utara;Provinsi Sumatera Utara;Kab. Labuhanbatu Utara;path02
35;PW02;Perwakilan BPKP Provinsi Sumatera Utara;Provinsi Sumatera Utara;Kab. Langkat;path02
36;PW02;Perwakilan BPKP Provinsi Sumatera Utara;Provinsi Sumatera Utara;Kab. Mandailing Natal;path02
37;PW02;Perwakilan BPKP Provinsi Sumatera Utara;Provinsi Sumatera Utara;Kab. Nias;path02
